index,Barrio,BARRIOS_HECHO,lat,lon
234,"Villa sara, Bucaramanga, Colombia",VILLA SARA,7.12551689, -73.11826324
235,"Urbanizacion samanes, Bucaramanga, Colombia",Urbanizacion SAMANES,7.12551689, -73.11826324
236,"Boulevar del cacique, Bucaramanga, Colombia",BOULEVAR DEL CACIQUE,7.12551689, -73.11826324
237,"Inv. punta betin, Bucaramanga, Colombia",INV. PUNTA BETIN,7.12551689, -73.11826324
238,"La gloria, Bucaramanga, Colombia",LA GLORIA,7.12551689, -73.11826324
239,"Cordoncillo i, Bucaramanga, Colombia",CORDONCILLO I,7.12551689, -73.11826324
240,"EspaÃ±a, Bucaramanga, Colombia",ESPAÃ‘A,7.22087097, -72.83539581
241,"Punta paraiso, Bucaramanga, Colombia",PUNTA PARAÃSO,7.12551689, -73.11826324
242,"Centauros, Bucaramanga, Colombia",CENTAUROS,7.12551689, -73.11826324
243,"Villa flor, Bucaramanga, Colombia",VILLA FLOR,7.12551689, -73.11826324
244,"Asentamiento carlos pizarro, Bucaramanga, Colombia",ASENTAMIENTO CARLOS PIZARRO,7.12551689, -73.11826324
245,"Mirador del cacique, Bucaramanga, Colombia",MIRADOR DEL CACIQUE,7.12551689, -73.11826324
246,"Condado de gibraltar, Bucaramanga, Colombia",CONDADO DE GIBRALTAR,7.12551689, -73.11826324
247,"Brisas del palmar, Bucaramanga, Colombia",BRISAS DEL PALMAR,7.12551689, -73.11826324
248,"La quebrada, Bucaramanga, Colombia",LA QUEBRADA,8.30855846, -73.14876556
249,"Los santos, Bucaramanga, Colombia",LOS SANTOS,7.16863012, -73.09693146
250,"Fatima, Bucaramanga, Colombia",FATIMA,8.21882248, -72.77452087
251,"Urbanizacion altos de tajamar, Bucaramanga, Colombia",Urbanizacion ALTOS DE TAJAMAR,7.12551689, -73.11826324
252,"Igsabelar, Bucaramanga, Colombia",IGSABELAR,7.12551689, -73.11826324
253,"Palmeras del cacique, Bucaramanga, Colombia",PALMERAS DEL CACIQUE,7.12551689, -73.11826324
254,"Don bosco, Bucaramanga, Colombia",DON BOSCO,7.12551689, -73.11826324
255,"Santa maria, Bucaramanga, Colombia",SANTA MARÃA,7.12551689, -73.11826324
256,"Pantano ii, Bucaramanga, Colombia",PANTANO II,7.12551689, -73.11826324
257,"Portal del cacique, Bucaramanga, Colombia",PORTAL DEL CACIQUE,7.12551689, -73.11826324
258,"El condado, Bucaramanga, Colombia",EL CONDADO,7.12551689, -73.11826324
259,"Viveros de provenza, Bucaramanga, Colombia",VIVEROS DE PROVENZA,7.08495522, -73.11476898
